"Фотографии";"Короткое название";"Артикул";"Бренд";"Цена_Розничная";"Цена_Зачеркнутая";"Цена_Трансазия";"Характеристики";"Описание товара";"Категории";"Основная категория";"Показывать товар"
"/storage/photo/original/h/chappi-suhoj-korm-dlya-sobak-myasnoe-izobilie-06-kg.jpg;
/storage/photo/original/h/chappi-suhoj-korm-dlya-sobak-myasnoe-izobilie-06-kg_4.jpg";"CHAPPI сухой корм для собак мясное изобилие 0,6 кг";620314;"CHAPPI";88;0;68;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Серия:Сытный мясной обед;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:5000160000000;
(Характеристики товара (Зоотовары))Вес:600 г;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:600 г;
(Характеристики товара (Зоотовары))";"<p>Полнорационный сухой корм Chappi сытный мясной обед ""Мясное изобилие"" разработан специально для ежедневного питания, подходит для всех пород собак. В составе продукта имеется мясо, крапива и ромашка, масла и жиры, позволяющие вашему питомцу выглядеть здоровым и счастливым. Содержит натуральные и полезные ингредиенты - приправу из овощей и трав. Поможет сохранить вашему животному прекрасную форму. Мозволяет обеспечить сбалансированным питанием вашего домашнего любимца.
Полнорационный сухой корм для взрослых собак всех пород.
Новое вкусное меню от Чаппи станет любимой едой вашей собаки. Выбирая полноценное сбалансированное питание Чаппи для Вашего любимца, вы можете быть уверены в том, что каждый день ваша собака будет довольной, игривой и здоровой.
Вкусно и Полезно!
-Для силы и Энергии в течение дня - Мясо.
-Для отличного пищеварения - Овощи, Травы, Злаки.
-Для блестящей шерсти и здоровой кожи - Масла и Жиры.
-Для крепких зубов и костей - Кальций.
-Для защиты здоровья - Витамины.
-Для поддержания собаки в оптимальной форме - Минералы.
-Не содержит Искусственных ароматизаторов, Искусственных усилителей вкуса.Состав: Злаки, мясо, субпродукты, белковые растительные экстракты, жиры животного происхождения, морковь, люцерна, растительные масла, минеральные вещества, витамины.Пищевая ценность: Пищевая ценность (100 г):
белок 18г, жир 10г, клетчатка 7г, влажность не более 10г, зола 7г, кальций 0,8г, фосфор 0,6г витамин А-500 МЕ,витамин D-50 ME,витамин Е-8 мг, а также витамины В2, В12, пантотеновая и никотиновая кислоты.
Энергетическая ценность (на 100 г): 350 ккал
</p>";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
"/storage/photo/original/h/chappi-suhoj-korm-dlya-sobak-s-govyadinoj-06-kg.jpg;
/storage/photo/original/h/chappi-suhoj-korm-dlya-sobak-s-govyadinoj-06-kg_8.jpg";"CHAPPI сухой корм для собак с говядиной 0,6 кг";620313;"CHAPPI";88;0;68;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Серия:Сытный мясной обед;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:5000160000000;
(Характеристики товара (Зоотовары))Вес:600 г;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:600 г;
(Характеристики товара (Зоотовары))";"<p>Полнорационный сухой корм для взрослых собак всех пород.
Новое вкусное меню от Чаппи станет любимой едой вашей собаки. Выбирая полноценное сбалансированное питание Чаппи для Вашего любимца, вы можете быть уверены в том, что каждый день ваша собака будет довольной, игривой и здоровой.
Вкусно и Полезно!
- Для силы и Энергии в течение дня - Мясо.
- Для отличного пищеварения - Овощи, Травы, Злаки.
- Для блестящей шерсти и здоровой кожи - Масла и Жиры.
- Для крепких зубов и костей - Кальций.
- Для защиты здоровья - Витамины.
- Для поддержания собаки в оптимальной форме - Минералы.
- Не содержит Искусственных ароматизаторов, Искусственных усилителей вкуса.Состав: Злаки, мясо и субпродукты, белковые растительные экстракты, жиры животного происхождения, морковь, люцерна, растительные масла, минеральные вещества, витамины.Пищевая ценность: Пищевая ценность (100 г):
белок 18г, жир 10г, клетчатка 7г, влажность не более 10г, зола 7г, кальций 0,8г, фосфор 0,6г витамин А-500 МЕ,витамин D-50 ME,витамин Е-8 мг, а также витамины В2, В12, пантотеновая и никотиновая кислоты.
Энергетическая ценность (на 100 г): 350 ккал
</p>";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
"/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-kurochka-appetitnaya-035-kg.jpg;
/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-kurochka-appetitnaya-035-kg_2.jpg";"KITEKAT сухой корм для кошек Курочка аппетитная 0,35 кг";610428;"KITEKAT";72;0;48;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"<p>Любимая курочка – вкусный и питательный обед! Еще больше сил и энергии – это то, что нужно настоящим исследователям!
Ведь Kitekat®  – это полноценная еда, которая содержит все необходимое для вашей кошки. Kitekat®  приготовлен из таких же качественных продуктов, что вы используете дома для своих близких: мясных ингредиентов, овощей, растительного масла и круп. Kitekat  знает, как их правильно сбалансировать для поддержания энергии и здоровья вашего кота.
Состав: Злаки, мясо и субпродукты (15%, в том числе курица минимум 4%), белковые растительные экстракты, жир животный, свекольный жом, растительное масло (источник омега-6), овощи, минеральные вещества, витамины, таурин, метион.Пищевая ценность: На 100 г: белок - 28 г; жир - 10 г; зола - 9 г; клетчатка - не более 5 г; влажность - не более 10 г; кальций - 1,5 г; фосфор - 0,9 г; витамин А - 1200 МЕ, витамин D - 120 МЕ, витамин Е - 7 мг, а также витамины В1, В2, В6, В12, пантотеновая кислота, биотин, холин, ниацин, таурин, метионин.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-kurochka-appetitnaya-08-kg.jpg;
/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-kurochka-appetitnaya-08-kg_10.jpg";"KITEKAT сухой корм для кошек Курочка аппетитная 0,8 кг";610432;"KITEKAT";160;0;116;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:800 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:800 г;
(Характеристики товара (Зоотовары))";"<p>Любимая курочка – вкусный и питательный обед! Еще больше сил и энергии – это то, что нужно настоящим исследователям!
Ведь Kitekat®  – это полноценная еда, которая содержит все необходимое для вашей кошки. Kitekat®  приготовлен из таких же качественных продуктов, что вы используете дома для своих близких: мясных ингредиентов, овощей, растительного масла и круп. Kitekat  знает, как их правильно сбалансировать для поддержания энергии и здоровья вашего кота.
Состав: Злаки, мясо и субпродукты (15%, в том числе курица минимум 4%), белковые растительные экстракты, жир животный, свекольный жом, растительное масло (источник омега-6), овощи, минеральные вещества, витамины, таурин, метион.Пищевая ценность: На 100 г: белок - 28 г; жир - 10 г; зола - 9 г; клетчатка - не более 5 г; влажность - не более 10 г; кальций - 1,5 г; фосфор - 0,9 г; витамин А - 1200 МЕ, витамин D - 120 МЕ, витамин Е - 7 мг, а также витамины В1, В2, В6, В12, пантотеновая кислота, биотин, холин, ниацин, таурин, метионин.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-myasnoj-pir-035-kg.jpg;
/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-myasnoj-pir-035-kg_11.jpg";"KITEKAT сухой корм для кошек Мясной пир 0,35 кг";610430;"KITEKAT";72;0;47;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"<p>Кажется, пора подкрепиться чем-нибудь вкусненьким! Чтобы целый день исследовать все новое и интересное в доме!
Kitekat® – это полноценная еда, которая содержит все необходимое для вашей кошки. Kitekat приготовлен из таких же качественных продуктов, что вы используете дома для своих близких: мясных ингредиентов, овощей, растительного масла и круп. Kitekat знает, как их правильно сбалансировать для поддержания энергии и здоровья вашего кота.Состав: Злаки, мясо и субпродукты (15%), белковые растительные экстракты, жир животный, свекольный жом,  растительное масло (источник омега-6), овощи, минеральные вещества, витамины, таурин, метион.Пищевая ценность: На 100 г: белок - 28 г; жир - 10 г; зола - 9 г; клетчатка - не более 5 г; влажность - не более 10 г; кальций - 1,5 г; фосфор - 0,9 г; витамин А - 1200 МЕ, витамин D - 120 МЕ, витамин Е - 7 мг, а также витамины В1, В2, В6, В12, пантотеновая кислота, биотин, холин, ниацин, таурин, метионин.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-myasnoj-pir-08-kg.jpg;
/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-myasnoj-pir-08-kg_12.jpg";"KITEKAT сухой корм для кошек Мясной пир 0,8 кг";610433;"KITEKAT";160;0;123;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:800 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:800 г;
(Характеристики товара (Зоотовары))";"<p>Кажется, пора подкрепиться чем-нибудь вкусненьким! Чтобы целый день исследовать все новое и интересное в доме!
Kitekat® – это полноценная еда, которая содержит все необходимое для вашей кошки. Kitekat приготовлен из таких же качественных продуктов, что вы используете дома для своих близких: мясных ингредиентов, овощей, растительного масла и круп. Kitekat знает, как их правильно сбалансировать для поддержания энергии и здоровья вашего кота.Состав: Злаки, мясо и субпродукты (15%), белковые растительные экстракты, жир животный, свекольный жом,  растительное масло (источник омега-6), овощи, минеральные вещества, витамины, таурин, метион.Пищевая ценность: На 100 г: белок - 28 г; жир - 10 г; зола - 9 г; клетчатка - не более 5 г; влажность - не более 10 г; кальций - 1,5 г; фосфор - 0,9 г; витамин А - 1200 МЕ, витамин D - 120 МЕ, витамин Е - 7 мг, а также витамины В1, В2, В6, В12, пантотеновая кислота, биотин, холин, ниацин, таурин, метионин.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-telyatinka-appetitnaya-035-kg.jpg;
/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-telyatinka-appetitnaya-035-kg_14.jpg";"KITEKAT сухой корм для кошек Телятинка аппетитная 0,35 кг";610431;"KITEKAT";72;0;55;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"<p>Питательный корм на каждый день. Такой обед всегда вдохновляет энергичных котов на увлекательные игры.
Ведь  Kitekat® – это полноценная еда, которая содержит все необходимое для вашей кошки. Kitekat приготовлен из таких же качественных продуктов, что вы используете дома для своих близких: мясных ингредиентов, овощей, растительного масла и круп. Kitekat знает, как их правильно сбалансировать для поддержания энергии и здоровья вашего кота. Состав: Злаки, мясо и субпродукты (15%), белковые растительные экстракты, жир животный, свекольный жом,  растительное масло (источник омега-6), овощи, минеральные вещества, витамины, таурин, метион.Пищевая ценность: На 100 г: белок - 28 г; жир - 10 г; зола - 9 г; клетчатка - не более 5 г; влажность - не более 10 г; кальций - 1,5 г; фосфор - 0,9г; витамин А - 1200 МЕ, витамин D - 120 МЕ, витамин Е - 7 мг, а также витамины В1, В2, В6, В12, пантотеновая кислота, биотин, холин, ниацин, таурин, метионин.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-telyatinka-appetitnaya-08-kg.jpg;
/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-telyatinka-appetitnaya-08-kg_16.jpg";"KITEKAT сухой корм для кошек Телятинка аппетитная 0,8 кг";610434;"KITEKAT";160;0;104;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:800 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:800 г;
(Характеристики товара (Зоотовары))";"<p>Питательный корм на каждый день. Такой обед всегда вдохновляет энергичных котов на увлекательные игры.
Ведь  Kitekat® – это полноценная еда, которая содержит все необходимое для вашей кошки. Kitekat приготовлен из таких же качественных продуктов, что вы используете дома для своих близких: мясных ингредиентов, овощей, растительного масла и круп. Kitekat знает, как их правильно сбалансировать для поддержания энергии и здоровья вашего кота. Состав: Злаки, мясо и субпродукты (15%), белковые растительные экстракты, жир животный, свекольный жом,  растительное масло (источник омега-6), овощи, минеральные вещества, витамины, таурин, метион.Пищевая ценность: На 100 г: белок - 28 г; жир - 10 г; зола - 9 г; клетчатка - не более 5 г; влажность - не более 10 г; кальций - 1,5 г; фосфор - 0,9г; витамин А - 1200 МЕ, витамин D - 120 МЕ, витамин Е - 7 мг, а также витамины В1, В2, В6, В12, пантотеновая кислота, биотин, холин, ниацин, таурин, метионин.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-ulov-ribaka-035-kg.jpg;
/storage/photo/original/h/kitekat-suhoj-korm-dlya-koshek-ulov-ribaka-035-kg_15.jpg";"KITEKAT сухой корм для кошек Улов рыбака 0,35 кг";610429;"KITEKAT";72;0;48;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"<p>После такого обеда ваш любимец легко сможет покорить любые вершины в доме!
А все потому, что Kitekat® – это полноценная еда, которая содержит все необходимое для вашей кошки. Kitekat® приготовлен из таких же качественных продуктов, что вы используете дома для своих близких: мясных ингредиентов, овощей, растительного масла и круп. Kitekat знает, как их правильно сбалансировать для поддержания энергии и здоровья вашего кота.
Состав: Злаки, мясо и субпродукты (15%), белковые растительные экстракты, жир животный, свекольный жом, мука рыбная, растительное масло (источник омега-6), овощи, минеральные вещества, витамины, таурин, метион.Пищевая ценность: На 100 г: белок - 28 г; жир - 10 г; зола - 9 г; клетчатка - не более 5 г; влажность - не более 10 г; кальций - 1,5 г; фосфор - 0,9 г; витамин А - 1200 МЕ, витамин D - 120 МЕ, витамин Е - 7 мг, а также витамины В1, В2, В6, В12, пантотеновая кислота, биотин, холин, ниацин, таурин, метионин.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/kurnosiki-soska-silikonovaya-bolshogo-razmera-srednij-potok-2-sht.jpg;
/storage/photo/original/h/kurnosiki-soska-silikonovaya-bolshogo-razmera-srednij-potok-2-sht_1.jpg";"КУРНОСИКИ соска силиконовая большого размера средний поток 2 шт";780158;"КУРНОСИКИ";56;0;45;"(Характеристики товара (Детские товары))Тип товара:Соска для бутылочки;
(Характеристики товара (Детские товары))EAN:4605660000000;
(Характеристики товара (Детские товары))Количество:2 шт;
(Характеристики товара (Детские товары))";"Подходит для бутылочек со стандартным горлом. Оптимальна для густого питания: каш, соков, кисломолочных продуктов.<br>
<br>
Срок годности - 4 года, срок службы - 1 месяц.<br>
<br>
Рекомендуемый возраст: 6 мес.+";"Детские товары/Товары для кормления/Бутылочки и поильники";"Детские товары/Товары для кормления/Бутылочки и поильники";1
